Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,6184384225,13371767082,49986726461,47413919817,49774409374,53274884533,57003712892,61026731926,66068737786,70655628148,75769974505,79158286334
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,85343190719,1.26392E+11,4.07339E+11,4.01296E+11,4.13366E+11,4.56357E+11,5.06754E+11,5.43977E+11,5.00462E+11,5.06256E+11,4.95645E+11,5.14945E+11
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TLS,128210141.8,366924300,1447535200,1595205100,1652603700,1598208400,1566157200,2027034000,2162619200,3621958000,3204753000,2243142908
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,2299665506,2106848752,6393318262,5755461035,6071170959,6387422518,7029300383,6992700101,7400284168,8342243646,8169476149,9171261835
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,113563821.6,204848487.8,439877614.4,437003078.6,420548712.4,460374354.8,488906838.6,512053692.1,484796854.9,469228219.7,500274898.1,..
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,5068000000,8154338233,29699968761,27026080987,23713671528,24040299978,24569079488,23775754305,20807571314,24496505941,30053575132,28139944790
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,12290568182,21473528161,50271812921,45779494042,44360072680,42163530591,42686580021,41905540184,42491816476,46812290143,44579761023,48529595417
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,1.50656E+11,2.74295E+11,9.38935E+11,8.64314E+11,8.69683E+11,8.58988E+11,7.78972E+11,7.61006E+11,7.20338E+11,8.19865E+11,9.07118E+11,1.10802E+12
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,3000000000,2904663311,43524210526,35799714286,36169428571,37926285714,40765428571,45232857143,45818000000,50007428571,56542857143,59887334844
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,..,..,841070000,942070000,1032452000,1028941663,1128749005,1177285212,774653669.3,1045782454,1228794383,1402054391
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,9542900.901,15073975.53,38760982.65,36811936.08,41629064.22,45276595.35,48015259.88,54123198.57,51746594.31,60196405.71,59065982.09,62280311.59
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,4304399310,6193246837,32612397257,32387183730,29203988696,30744473841,32927025620,35348155095,37600368240,40529788744,45565333216,49272882214
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,79523809524,32375083935,1.33504E+11,91030967789,93355869404,1.12091E+11,1.30891E+11,1.53883E+11,1.56618E+11,1.99766E+11,1.6199E+11,1.78757E+11
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,50701443748,1.04337E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15179E+11,5.07064E+11,5.04173E+11
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1.09317E+12,1.66553E+12,3.06471E+12,2.92791E+12,2.68911E+12,2.68015E+12,2.87134E+12,2.85141E+12,2.69781E+12,3.14151E+12,3.08884E+12,3.34003E+12
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5.96314E+12,1.0251E+13,1.76081E+13,1.8295E+13,1.88049E+13,1.96121E+13,2.06565E+13,2.15214E+13,2.1323E+13,2.3594E+13,2.57441E+13,2.73609E+13
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,9298807850,22823270892,61496186974,57680327999,57480788380,65006047680,65344408987,62222387929,53668636568,60760798596,70164683290,77240831587
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,13362340338,13760513969,80845385809,86196264755,86138288644,62081322740,52870108215,60283503705,60224701297,69600614987,81140823252,90889149307
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,168879207.2,272014627.8,772315983.8,730870803,780889605.9,880061833.7,914736985.4,936526267.6,909421043.5,950394006.5,1022219298,1126313359
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,48606952195,1.17146E+11,4.82359E+11,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Viet Nam,VNM,6471740806,31172518403,2.33451E+11,2.39258E+11,2.57096E+11,2.81354E+11,3.10106E+11,3.34365E+11,3.46616E+11,3.66475E+11,4.10324E+11,4.29717E+11
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,..,..,3565000000,3663000000,3798000000,3794000000,3923000000,4121000000,4189000000,4444000000,..,..
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,..,4313600000,13989700000,13972400000,15405400000,16128000000,16276600000,17133500000,15531700000,18109000000,19165500000,17396300000
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,12643821569,9679316770,43228585321,42444490074,31317825274,26842229045,21606160663,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,3285217391,3600632111,27141023558,21251216799,20958412538,25873601261,26311507274,23308667781,18137764931,22096416932,29163782140,28162630954
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,8783816700,6689957600,19495519600,19963120600,20548678100,17584890937,34156069918,21832234926,21509698406,28371238666,27366627153,26538273499
GDP (current US$),NY.GDP.MKTP.CD,Africa Eastern and Southern,AFE,2.51212E+11,2.87202E+11,9.7969E+11,8.99296E+11,8.2983E+11,9.40105E+11,1.01272E+12,1.00653E+12,9.29074E+11,1.08677E+12,1.18396E+12,1.23616E+12
GDP (current US$),NY.GDP.MKTP.CD,Africa Western and Central,AFW,1.23711E+11,1.4214E+11,8.94585E+11,7.69367E+11,6.92181E+11,6.8575E+11,7.6819E+11,8.23934E+11,7.87147E+11,8.45993E+11,8.77141E+11,7.96586E+11
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,6.40091E+11,7.6066E+11,2.90508E+12,2.54414E+12,2.49997E+12,2.57105E+12,2.86554E+12,2.89867E+12,2.57655E+12,2.96912E+12,3.61368E+12,3.49152E+12
GDP (current US$),NY.GDP.MKTP.CD,Caribbean small states,CSS,8504276627,17467367619,33462282321,34538256118,33451252507,34921587493,36225416548,37621010338,31378030001,36706592899,48138054139,53252637670
GDP (current US$),NY.GDP.MKTP.CD,Central Europe and the Baltics,CEB,2.71637E+11,4.28598E+11,1.46382E+12,1.29362E+12,1.31682E+12,1.46157E+12,1.64901E+12,1.67482E+12,1.66582E+12,1.9082E+12,1.94358E+12,2.25297E+12
GDP (current US$),NY.GDP.MKTP.CD,Early-demographic dividend,EAR,1.84049E+12,3.3777E+12,1.07666E+13,1.0237E+13,1.0537E+13,1.13934E+13,1.15244E+13,1.17677E+13,1.0981E+13,1.27713E+13,1.41311E+13,1.48478E+13
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific,EAS,4.79095E+12,8.37736E+12,2.20897E+13,2.19953E+13,2.2776E+13,2.43291E+13,2.64879E+13,2.70325E+13,2.71565E+13,3.11482E+13,3.06638E+13,3.07757E+13
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (excluding high income),EAP,6.66707E+11,1.73614E+12,1.28002E+13,1.33232E+13,1.36146E+13,1.48811E+13,1.66404E+13,1.72132E+13,1.74873E+13,2.084E+13,2.11138E+13,2.11502E+13
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,6.66024E+11,1.73414E+12,1.27845E+13,1.33069E+13,1.35979E+13,1.48628E+13,1.66199E+13,1.7192E+13,1.74658E+13,2.08143E+13,2.10877E+13,2.11241E+13
GDP (current US$),NY.GDP.MKTP.CD,Euro area,EMU,5.90978E+12,6.51763E+12,1.35701E+13,1.17271E+13,1.20259E+13,1.27369E+13,1.37611E+13,1.34811E+13,1.31552E+13,1.47546E+13,1.42243E+13,1.55449E+13
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia,ECS,8.86897E+12,1.00659E+13,2.37844E+13,2.04815E+13,2.04086E+13,2.16528E+13,2.31887E+13,2.29082E+13,2.21565E+13,2.53314E+13,2.53893E+13,2.72406E+13
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (excluding high income),ECA,3.46941E+11,3.90255E+11,1.72971E+12,1.50765E+12,1.4474E+12,1.48511E+12,1.45998E+12,1.48877E+12,1.42833E+12,1.65944E+12,1.80304E+12,2.09835E+12
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,1.0167E+12,8.94544E+11,4.6444E+12,3.62795E+12,3.4862E+12,3.90973E+12,4.07764E+12,4.15971E+12,3.9008E+12,4.62363E+12,5.22007E+12,5.46628E+12
GDP (current US$),NY.GDP.MKTP.CD,European Union,EUU,6.50987E+12,7.27639E+12,1.56514E+13,1.35539E+13,1.38888E+13,1.47659E+13,1.59814E+13,1.56941E+13,1.53814E+13,1.73151E+13,1.67615E+13,1.83494E+13
GDP (current US$),NY.GDP.MKTP.CD,Fragile and conflict affected situations,FCS,5.50432E+11,4.68036E+11,2.05379E+12,1.61732E+12,1.49063E+12,1.54971E+12,1.73518E+12,1.84215E+12,1.69093E+12,1.79627E+12,1.95001E+12,1.9068E+12
GDP (current US$),NY.GDP.MKTP.CD,Heavily indebted poor countries (HIPC),HPC,1.67698E+11,1.81381E+11,6.94344E+11,6.67302E+11,6.74512E+11,7.24758E+11,7.74607E+11,8.03356E+11,8.1136E+11,9.02263E+11,9.81675E+11,1.13047E+12
GDP (current US$),NY.GDP.MKTP.CD,High income,HIC,1.9577E+13,2.80367E+13,5.33102E+13,4.97731E+13,5.07372E+13,5.33368E+13,5.66846E+13,5.72183E+13,5.57911E+13,6.2461E+13,6.44444E+13,6.76537E+13
GDP (current US$),NY.GDP.MKTP.CD,IBRD only,IBD,3.5603E+12,5.87325E+12,2.75928E+13,2.58384E+13,2.60278E+13,2.87452E+13,3.05793E+13,3.12466E+13,3.01039E+13,3.57404E+13,3.77332E+13,3.8733E+13
GDP (current US$),NY.GDP.MKTP.CD,IDA & IBRD total,IBT,3.93824E+12,6.39053E+12,2.98009E+13,2.79873E+13,2.81695E+13,3.09601E+13,3.29641E+13,3.37224E+13,3.25286E+13,3.8379E+13,4.0567E+13,4.15597E+13
GDP (current US$),NY.GDP.MKTP.CD,IDA blend,IDB,1.4783E+11,2.26799E+11,1.11056E+12,1.05406E+12,9.84096E+11,9.67438E+11,1.05691E+12,1.07775E+12,1.00947E+12,1.1046E+12,1.18366E+12,1.04402E+12
GDP (current US$),NY.GDP.MKTP.CD,IDA only,IDX,2.32816E+11,2.91558E+11,1.09755E+12,1.09364E+12,1.15661E+12,1.24773E+12,1.32789E+12,1.39767E+12,1.41456E+12,1.53539E+12,1.65136E+12,1.78607E+12
GDP (current US$),NY.GDP.MKTP.CD,IDA total,IDA,3.78857E+11,5.17721E+11,2.20811E+12,2.1477E+12,2.1407E+12,2.21517E+12,2.3848E+12,2.47542E+12,2.42403E+12,2.63999E+12,2.835E+12,2.82804E+12
GDP (current US$),NY.GDP.MKTP.CD,Late-demographic dividend,LTE,1.96614E+12,3.41031E+12,1.97763E+13,1.85509E+13,1.85936E+13,2.06311E+13,2.26236E+13,2.30502E+13,2.25312E+13,2.68728E+13,2.80626E+13,2.83414E+13
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean,LCN,1.10212E+12,2.32617E+12,6.4832E+12,5.41829E+12,5.28331E+12,5.86648E+12,5.74264E+12,5.65997E+12,4.80492E+12,5.578E+12,6.34168E+12,7.09433E+12
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean (excluding high income),LAC,9.57594E+11,2.0015E+12,5.45729E+12,4.63456E+12,4.49698E+12,5.01288E+12,4.8704E+12,4.80455E+12,4.04682E+12,4.69074E+12,5.38951E+12,6.05058E+12
GDP (current US$),NY.GDP.MKTP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,1.0346E+12,2.21479E+12,6.27084E+12,5.19484E+12,5.0537E+12,5.63195E+12,5.50607E+12,5.41399E+12,4.5613E+12,5.31034E+12,6.04525E+12,6.77278E+12
GDP (current US$),NY.GDP.MKTP.CD,Least developed countries: UN classification,LDC,1.88378E+11,2.24221E+11,9.59618E+11,9.20865E+11,9.36562E+11,1.02506E+12,1.09042E+12,1.1505E+12,1.16202E+12,1.26674E+12,1.42462E+12,1.50425E+12
GDP (current US$),NY.GDP.MKTP.CD,Low & middle income,LMY,3.19421E+12,5.68027E+12,2.61018E+13,2.53265E+13,2.55866E+13,2.79333E+13,2.97037E+13,3.04245E+13,2.94919E+13,3.4735E+13,3.64386E+13,3.74252E+13
GDP (current US$),NY.GDP.MKTP.CD,Low income,LIC,1.34347E+11,1.23909E+11,4.22084E+11,4.16121E+11,3.83742E+11,4.01921E+11,4.18228E+11,4.45278E+11,4.39782E+11,4.66421E+11,5.30579E+11,6.46798E+11
GDP (current US$),NY.GDP.MKTP.CD,Lower middle income,LMC,7.3371E+11,1.18553E+12,5.0904E+12,5.0837E+12,5.29756E+12,5.69307E+12,5.97974E+12,6.27811E+12,6.08179E+12,6.89434E+12,7.3411E+12,7.38475E+12
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa,MEA,7.45103E+11,9.92556E+11,3.62762E+12,3.20101E+12,3.23426E+12,3.372E+12,3.53806E+12,3.54995E+12,3.19908E+12,3.78028E+12,4.49712E+12,4.28768E+12
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa (excluding high income),MNA,5.04676E+11,4.74549E+11,1.62599E+12,1.46058E+12,1.49671E+12,1.49669E+12,1.42148E+12,1.43313E+12,1.32436E+12,1.5353E+12,1.7601E+12,1.64655E+12
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,5.00008E+11,4.70236E+11,1.612E+12,1.44661E+12,1.48131E+12,1.48056E+12,1.40521E+12,1.416E+12,1.30883E+12,1.51719E+12,1.74095E+12,1.62917E+12
GDP (current US$),NY.GDP.MKTP.CD,Middle income,MIC,3.06962E+12,5.55788E+12,2.56807E+13,2.49117E+13,2.52026E+13,2.75303E+13,2.9284E+13,2.99785E+13,2.90517E+13,3.42661E+13,3.59079E+13,3.67869E+13
GDP (current US$),NY.GDP.MKTP.CD,North America,NAC,6.56081E+12,1.09992E+13,1.94203E+13,1.98582E+13,2.03398E+13,2.12685E+13,2.23891E+13,2.32725E+13,2.29855E+13,2.56088E+13,2.79134E+13,2.95093E+13
GDP (current US$),NY.GDP.MKTP.CD,OECD members,OED,1.8847E+13,2.76696E+13,5.03869E+13,4.75367E+13,4.84606E+13,5.06107E+13,5.3526E+13,5.4053E+13,5.28529E+13,5.88998E+13,6.01701E+13,6.40989E+13
GDP (current US$),NY.GDP.MKTP.CD,Other small states,OSS,33890663891,55909436459,1.67893E+11,1.51722E+11,1.592E+11,1.76977E+11,1.9385E+11,1.95442E+11,1.78185E+11,2.08007E+11,2.23331E+11,2.34402E+11
